Index,Year,Month,DayofMonth,DayOfWeek,DepTime,ArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted
37,2011,1,7,5,711,827,AA,460,N478AA,76,42,-8,-9,IAH,DFW,224,24,10,0,,0
38,2011,1,8,6,713,805,AA,460,N550AA,52,40,-30,-7,IAH,DFW,224,3,9,0,,0
39,2011,1,9,7,714,829,AA,460,N586AA,75,51,-6,-6,IAH,DFW,224,11,13,0,,0
40,2011,1,10,1,715,818,AA,460,N587AA,63,44,-17,-5,IAH,DFW,224,8,11,0,,0
41,2011,1,11,2,717,820,AA,460,N574AA,63,44,-15,-3,IAH,DFW,224,7,12,0,,0
42,2011,1,12,3,714,814,AA,460,N580AA,60,42,-21,-6,IAH,DFW,224,10,8,0,,0
43,2011,1,13,4,722,841,AA,460,N586AA,79,49,6,2,IAH,DFW,224,16,14,0,,0
44,2011,1,14,5,715,828,AA,460,N468AA,73,47,-7,-5,IAH,DFW,224,15,11,0,,0
45,2011,1,15,6,719,833,AA,460,N251AA,74,49,-2,-1,IAH,DFW,224,12,13,0,,0
46,2011,1,16,7,743,843,AA,460,N546AA,60,45,8,23,IAH,DFW,224,5,10,0,,0
47,2011,1,17,1,724,842,AA,460,N559AA,78,54,7,4,IAH,DFW,224,12,12,0,,0
48,2011,1,18,2,721,827,AA,460,N558AA,66,46,-8,1,IAH,DFW,224,7,13,0,,0
49,2011,1,19,3,714,833,AA,460,N574AA,79,51,-2,-6,IAH,DFW,224,14,14,0,,0
50,2011,1,20,4,719,822,AA,460,N471AA,63,44,-13,-1,IAH,DFW,224,8,11,0,,0
51,2011,1,21,5,712,811,AA,460,N278AA,59,40,-24,-8,IAH,DFW,224,11,8,0,,0
52,2011,1,22,6,717,829,AA,460,N499AA,72,47,-6,-3,IAH,DFW,224,18,7,0,,0
53,2011,1,23,7,710,814,AA,460,N556AA,64,42,-21,-10,IAH,DFW,224,11,11,0,,0
54,2011,1,24,1,731,904,AA,460,N545AA,93,42,29,11,IAH,DFW,224,14,37,0,,0
55,2011,1,25,2,719,818,AA,460,N541AA,59,40,-17,-1,IAH,DFW,224,8,11,0,,0
56,2011,1,26,3,716,824,AA,460,N512AA,68,44,-11,-4,IAH,DFW,224,10,14,0,,0
57,2011,1,27,4,715,825,AA,460,N4UCAA,70,44,-10,-5,IAH,DFW,224,16,10,0,,0
58,2011,1,28,5,741,846,AA,460,N403AA,65,44,11,21,IAH,DFW,224,7,14,0,,0
59,2011,1,29,6,720,825,AA,460,N557AA,65,43,-10,0,IAH,DFW,224,12,10,0,,0
60,2011,1,30,7,716,820,AA,460,N498AA,64,44,-15,-4,IAH,DFW,224,11,9,0,,0
61,2011,1,31,1,718,816,AA,460,N493AA,58,40,-19,-2,IAH,DFW,224,10,8,0,,0
62,2011,1,2,7,1959,2106,AA,533,N461AA,67,44,-14,-6,IAH,DFW,224,12,11,0,,0
63,2011,1,3,1,1958,2107,AA,533,N4XGAA,69,48,-13,-7,IAH,DFW,224,5,16,0,,0
64,2011,1,4,2,2100,2207,AA,533,N4XGAA,67,42,47,55,IAH,DFW,224,3,22,0,,0
65,2011,1,5,3,1958,2106,AA,533,N546AA,68,44,-14,-7,IAH,DFW,224,13,11,0,,0
66,2011,1,6,4,1955,2103,AA,533,N485AA,68,41,-17,-10,IAH,DFW,224,14,13,0,,0
67,2011,1,7,5,1958,2055,AA,533,N555AA,57,44,-25,-7,IAH,DFW,224,3,10,0,,0
68,2011,1,9,7,2045,2155,AA,533,N4WYAA,70,44,35,40,IAH,DFW,224,11,15,0,,0
69,2011,1,10,1,2029,2133,AA,533,N577AA,64,43,13,24,IAH,DFW,224,10,11,0,,0
70,2011,1,11,2,1953,2051,AA,533,N505AA,58,44,-29,-12,IAH,DFW,224,3,11,0,,0
71,2011,1,12,3,2015,2113,AA,533,N555AA,58,39,-7,10,IAH,DFW,224,9,10,0,,0
72,2011,1,13,4,2020,2116,AA,533,N4XCAA,56,44,-4,15,IAH,DFW,224,4,8,0,,0
73,2011,1,14,5,2119,2229,AA,533,N549AA,70,45,69,74,IAH,DFW,224,5,20,0,,0
74,2011,1,16,7,1956,2119,AA,533,N478AA,83,42,-1,-9,IAH,DFW,224,18,23,0,,0
75,2011,1,17,1,2030,2131,AA,533,N492AA,61,44,11,25,IAH,DFW,224,5,12,0,,0
76,2011,1,18,2,1957,2106,AA,533,N514AA,69,44,-14,-8,IAH,DFW,224,10,15,0,,0
77,2011,1,19,3,2029,2123,AA,533,N550AA,54,44,3,24,IAH,DFW,224,4,6,0,,0
78,2011,1,20,4,2004,2121,AA,533,N512AA,77,45,1,-1,IAH,DFW,224,7,25,0,,0
79,2011,1,21,5,2036,2134,AA,533,N505AA,58,45,14,31,IAH,DFW,224,3,10,0,,0
80,2011,1,23,7,2001,2057,AA,533,N530AA,56,39,-23,-4,IAH,DFW,224,9,8,0,,0
81,2011,1,24,1,2043,2139,AA,533,N4XJAA,56,41,19,38,IAH,DFW,224,4,11,0,,0
82,2011,1,25,2,2004,2107,AA,533,N585AA,63,44,-13,-1,IAH,DFW,224,8,11,0,,0
83,2011,1,26,3,2009,2103,AA,533,N403AA,54,39,-17,4,IAH,DFW,224,9,6,0,,0
84,2011,1,27,4,2039,2130,AA,533,N506AA,51,40,10,34,IAH,DFW,224,2,9,0,,0
85,2011,1,28,5,1959,2100,AA,533,N466AA,61,42,-20,-6,IAH,DFW,224,8,11,0,,0
86,2011,1,30,7,1959,2132,AA,533,N455AA,93,43,12,-6,IAH,DFW,224,10,40,0,,0
87,2011,1,31,1,1954,2105,AA,533,N477AA,71,38,-15,-11,IAH,DFW,224,11,22,0,,0
88,2011,1,1,6,1631,1736,AA,1121,N4WVAA,65,37,-9,1,IAH,DFW,224,16,12,0,,0
89,2011,1,2,7,1636,1759,AA,1121,N579AA,83,46,14,6,IAH,DFW,224,24,13,0,,0
90,2011,1,3,1,1623,1738,AA,1121,N468AA,75,47,-7,-7,IAH,DFW,224,10,18,0,,0
91,2011,1,4,2,1629,1732,AA,1121,N4WYAA,63,43,-13,-1,IAH,DFW,224,9,11,0,,0
92,2011,1,5,3,1629,1740,AA,1121,N481AA,71,43,-5,-1,IAH,DFW,224,16,12,0,,0
93,2011,1,6,4,1625,1732,AA,1121,N498AA,67,43,-13,-5,IAH,DFW,224,13,11,0,,0
94,2011,1,7,5,1630,1733,AA,1121,N525AA,63,43,-12,0,IAH,DFW,224,6,14,0,,0
95,2011,1,8,6,1627,1736,AA,1121,N583AA,69,45,-9,-3,IAH,DFW,224,13,11,0,,0
96,2011,1,9,7,1835,1951,AA,1121,N574AA,76,50,126,125,IAH,DFW,224,9,17,0,,0
97,2011,1,10,1,1639,1740,AA,1121,N531AA,61,41,-5,9,IAH,DFW,224,8,12,0,,0
98,2011,1,11,2,1752,1855,AA,1121,N586AA,63,41,70,82,IAH,DFW,224,8,14,0,,0
99,2011,1,12,3,1631,1739,AA,1121,N468AA,68,44,-6,1,IAH,DFW,224,5,19,0,,0
100,2011,1,13,4,1630,1733,AA,1121,N583AA,63,45,-12,0,IAH,DFW,224,4,14,0,,0
101,2011,1,14,5,1629,1734,AA,1121,N551AA,65,47,-11,-1,IAH,DFW,224,8,10,0,,0
102,2011,1,15,6,1632,1736,AA,1121,N274AA,64,48,-9,2,IAH,DFW,224,5,11,0,,0
103,2011,1,16,7,1708,1819,AA,1121,N558AA,71,42,34,38,IAH,DFW,224,12,17,0,,0
104,2011,1,17,1,1632,1744,AA,1121,N580AA,72,51,-1,2,IAH,DFW,224,10,11,0,,0
105,2011,1,18,2,1625,1740,AA,1121,N515AA,75,45,-5,-5,IAH,DFW,224,10,20,0,,0
106,2011,1,19,3,1629,1731,AA,1121,N538AA,62,46,-14,-1,IAH,DFW,224,6,10,0,,0
107,2011,1,20,4,1641,1752,AA,1121,N586AA,71,41,7,11,IAH,DFW,224,5,25,0,,0
108,2011,1,21,5,1638,1746,AA,1121,N558AA,68,47,1,8,IAH,DFW,224,9,12,0,,0
109,2011,1,22,6,1623,1742,AA,1121,N504AA,79,47,-3,-7,IAH,DFW,224,15,17,0,,0
110,2011,1,23,7,1622,1738,AA,1121,N489AA,76,44,-7,-8,IAH,DFW,224,7,25,0,,0
111,2011,1,24,1,1621,1749,AA,1121,N484AA,88,43,4,-9,IAH,DFW,224,10,35,0,,0
112,2011,1,25,2,1627,1733,AA,1121,N4UCAA,66,41,-12,-3,IAH,DFW,224,10,15,0,,0
113,2011,1,26,3,1634,1745,AA,1121,N556AA,71,41,0,4,IAH,DFW,224,7,23,0,,0
114,2011,1,27,4,1634,1740,AA,1121,N557AA,66,43,-5,4,IAH,DFW,224,10,13,0,,0
115,2011,1,28,5,1625,1730,AA,1121,N553AA,65,44,-15,-5,IAH,DFW,224,10,11,0,,0
116,2011,1,29,6,1630,1731,AA,1121,N584AA,61,47,-14,0,IAH,DFW,224,5,9,0,,0
117,2011,1,30,7,1635,1733,AA,1121,N403AA,58,39,-12,5,IAH,DFW,224,9,10,0,,0
118,2011,1,31,1,1656,1758,AA,1121,N455AA,62,41,13,26,IAH,DFW,224,9,12,0,,0
119,2011,1,1,6,1756,2112,AA,1294,N3DGAA,136,113,-3,1,IAH,MIA,964,9,14,0,,0
120,2011,1,2,7,1823,2132,AA,1294,N3CCAA,129,112,17,28,IAH,MIA,964,6,11,0,,0
121,2011,1,3,1,1755,2106,AA,1294,N3ARAA,131,112,-9,0,IAH,MIA,964,5,14,0,,0
122,2011,1,4,2,1757,2122,AA,1294,N3DFAA,145,108,7,2,IAH,MIA,964,26,11,0,,0
123,2011,1,5,3,1751,2100,AA,1294,N3BDAA,129,107,-15,-4,IAH,MIA,964,11,11,0,,0
124,2011,1,6,4,1746,2120,AA,1294,N3CMAA,154,106,5,-9,IAH,MIA,964,34,14,0,,0
125,2011,1,7,5,1757,2108,AA,1294,N3CYAA,131,107,-7,2,IAH,MIA,964,9,15,0,,0
126,2011,1,8,6,1749,2100,AA,1294,N3AXAA,131,107,-15,-6,IAH,MIA,964,11,13,0,,0
127,2011,1,9,7,1810,2123,AA,1294,N3AUAA,133,110,8,15,IAH,MIA,964,7,16,0,,0
128,2011,1,10,1,1934,2235,AA,1294,N3BXAA,121,107,80,99,IAH,MIA,964,3,11,0,,0
129,2011,1,11,2,1848,2156,AA,1294,N3CWAA,128,111,41,53,IAH,MIA,964,7,10,0,,0
130,2011,1,12,3,1748,2102,AA,1294,N3DFAA,134,117,-13,-7,IAH,MIA,964,7,10,0,,0
131,2011,1,13,4,1748,2127,AA,1294,N3DLAA,159,110,12,-7,IAH,MIA,964,36,13,0,,0
132,2011,1,14,5,1754,2101,AA,1294,N3CUAA,127,110,-14,-1,IAH,MIA,964,6,11,0,,0
133,2011,1,15,6,1749,2059,AA,1294,N3AXAA,130,111,-16,-6,IAH,MIA,964,6,13,0,,0
134,2011,1,16,7,1807,2137,AA,1294,N3CXAA,150,113,22,12,IAH,MIA,964,15,22,0,,0
135,2011,1,17,1,1803,2121,AA,1294,N3CEAA,138,117,6,8,IAH,MIA,964,10,11,0,,0
136,2011,1,18,2,1839,2154,AA,1294,N3BLAA,135,114,39,44,IAH,MIA,964,7,14,0,,0
137,2011,1,19,3,1751,2103,AA,1294,N3CWAA,132,110,-12,-4,IAH,MIA,964,11,11,0,,0
138,2011,1,20,4,1750,2114,AA,1294,N3CWAA,144,111,-1,-5,IAH,MIA,964,20,13,0,,0
139,2011,1,21,5,1818,2133,AA,1294,N3BCAA,135,110,18,23,IAH,MIA,964,9,16,0,,0
140,2011,1,22,6,1750,2055,AA,1294,N3BYAA,125,109,-20,-5,IAH,MIA,964,6,10,0,,0
141,2011,1,23,7,1753,2113,AA,1294,N3DCAA,140,107,-2,-2,IAH,MIA,964,20,13,0,,0
142,2011,1,24,1,1828,2146,AA,1294,N3GJAA,138,113,31,33,IAH,MIA,964,5,20,0,,0
143,2011,1,25,2,1750,2118,AA,1294,N3BFAA,148,129,3,-5,IAH,MIA,964,6,13,0,,0
144,2011,1,26,3,1905,2211,AA,1294,N3BXAA,126,111,56,70,IAH,MIA,964,5,10,0,,0
145,2011,1,27,4,1812,2129,AA,1294,N3CFAA,137,106,14,17,IAH,MIA,964,20,11,0,,0
146,2011,1,28,5,1750,2108,AA,1294,N3BLAA,138,108,-7,-5,IAH,MIA,964,20,10,0,,0
147,2011,1,29,6,1753,2102,AA,1294,N3BXAA,129,105,-13,-2,IAH,MIA,964,12,12,0,,0
148,2011,1,30,7,1856,2209,AA,1294,N3CPAA,133,108,54,61,IAH,MIA,964,7,18,0,,0
149,2011,1,31,1,1757,2101,AA,1294,N3DJAA,124,104,-14,2,IAH,MIA,964,4,16,0,,0
150,2011,1,3,1,907,1013,AA,1436,N480AA,66,44,-12,-3,IAH,DFW,224,4,18,0,,0
151,2011,1,4,2,930,1030,AA,1436,N497AA,60,43,5,20,IAH,DFW,224,4,13,0,,0
152,2011,1,5,3,916,1019,AA,1436,N548AA,63,40,-6,6,IAH,DFW,224,4,19,0,,0
153,2011,1,6,4,907,1015,AA,1436,N4WUAA,68,42,-10,-3,IAH,DFW,224,7,19,0,,0
154,2011,1,7,5,904,1012,AA,1436,N531AA,68,40,-13,-6,IAH,DFW,224,7,21,0,,0
155,2011,1,10,1,941,1113,AA,1436,N591AA,92,45,48,31,IAH,DFW,224,27,20,0,,0
156,2011,1,11,2,901,1005,AA,1436,N425AA,64,42,-20,-9,IAH,DFW,224,6,16,0,,0
157,2011,1,12,3,909,1009,AA,1436,N499AA,60,41,-16,-1,IAH,DFW,224,4,15,0,,0
158,2011,1,13,4,907,1022,AA,1436,N251AA,75,45,-3,-3,IAH,DFW,224,7,23,0,,0
159,2011,1,14,5,903,1012,AA,1436,N552AA,69,45,-13,-7,IAH,DFW,224,6,18,0,,0
160,2011,1,17,1,930,1040,AA,1436,N545AA,70,49,15,20,IAH,DFW,224,11,10,0,,0
161,2011,1,18,2,923,1030,AA,1436,N262AA,67,42,5,13,IAH,DFW,224,5,20,0,,0
162,2011,1,19,3,916,1028,AA,1436,N474AA,72,45,3,6,IAH,DFW,224,7,20,0,,0
163,2011,1,20,4,907,1018,AA,1436,N4XJAA,71,42,-7,-3,IAH,DFW,224,13,16,0,,0
164,2011,1,21,5,918,1037,AA,1436,N538AA,79,50,12,8,IAH,DFW,224,8,21,0,,0
165,2011,1,24,1,912,1017,AA,1436,N567AA,65,42,-8,2,IAH,DFW,224,9,14,0,,0
166,2011,1,25,2,901,1007,AA,1436,N485AA,66,38,-18,-9,IAH,DFW,224,8,20,0,,0
167,2011,1,26,3,910,1018,AA,1436,N486AA,68,44,-7,0,IAH,DFW,224,10,14,0,,0
168,2011,1,27,4,908,1011,AA,1436,N499AA,63,46,-14,-2,IAH,DFW,224,10,7,0,,0
169,2011,1,28,5,907,1012,AA,1436,N425AA,65,44,-13,-3,IAH,DFW,224,4,17,0,,0
170,2011,1,31,1,941,1054,AA,1436,N517AA,73,44,29,31,IAH,DFW,224,5,24,0,,0
171,2011,1,1,6,1012,1347,AA,1700,N3DAAA,155,117,7,-8,IAH,MIA,964,12,26,0,,0
172,2011,1,2,7,1008,1321,AA,1700,N3ASAA,133,112,-19,-12,IAH,MIA,964,6,15,0,,0
173,2011,1,3,1,1018,1323,AA,1700,N3CBAA,125,111,-17,-2,IAH,MIA,964,6,8,0,,0
174,2011,1,4,2,1026,1333,AA,1700,N3BAAA,127,109,-7,6,IAH,MIA,964,5,13,0,,0
175,2011,1,5,3,1021,1331,AA,1700,N3CDAA,130,108,-9,1,IAH,MIA,964,10,12,0,,0
176,2011,1,6,4,1020,1322,AA,1700,N3CUAA,122,105,-18,0,IAH,MIA,964,7,10,0,,0
177,2011,1,7,5,1010,1316,AA,1700,N3BCAA,126,107,-24,-10,IAH,MIA,964,10,9,0,,0
178,2011,1,8,6,1019,1324,AA,1700,N3AHAA,125,106,-16,-1,IAH,MIA,964,7,12,0,,0
179,2011,1,9,7,1029,1338,AA,1700,N3CPAA,129,110,-2,9,IAH,MIA,964,10,9,0,,0
180,2011,1,10,1,1038,1414,AA,1700,N3AKAA,156,132,34,18,IAH,MIA,964,5,19,0,,0
181,2011,1,11,2,1134,1454,AA,1700,N3ALAA,140,115,74,74,IAH,MIA,964,11,14,0,,0
182,2011,1,12,3,1019,1327,AA,1700,N3BJAA,128,113,-13,-1,IAH,MIA,964,6,9,0,,0
183,2011,1,13,4,1018,1326,AA,1700,N3BCAA,128,108,-14,-2,IAH,MIA,964,4,16,0,,0
184,2011,1,14,5,1024,1327,AA,1700,N3AUAA,123,110,-13,4,IAH,MIA,964,5,8,0,,0
185,2011,1,15,6,1022,1340,AA,1700,N3DEAA,138,114,0,2,IAH,MIA,964,13,11,0,,0
186,2011,1,16,7,1021,1332,AA,1700,N3BJAA,131,118,-8,1,IAH,MIA,964,4,9,0,,0
187,2011,1,17,1,1019,1332,AA,1700,N3BUAA,133,113,-8,-1,IAH,MIA,964,12,8,0,,0
188,2011,1,18,2,1017,1332,AA,1700,N3ARAA,135,118,-8,-3,IAH,MIA,964,5,12,0,,0
189,2011,1,19,3,1016,1331,AA,1700,N3BXAA,135,114,-9,-4,IAH,MIA,964,9,12,0,,0
190,2011,1,20,4,1015,1325,AA,1700,N3CKAA,130,107,-15,-5,IAH,MIA,964,11,12,0,,0
191,2011,1,21,5,1017,1325,AA,1700,N3APAA,128,110,-15,-3,IAH,MIA,964,7,11,0,,0
192,2011,1,22,6,1026,1345,AA,1700,N3CPAA,139,112,5,6,IAH,MIA,964,11,16,0,,0
193,2011,1,23,7,1012,1327,AA,1700,N3CNAA,135,108,-13,-8,IAH,MIA,964,17,10,0,,0
194,2011,1,24,1,,,AA,1700,N3BGAA,,,,,IAH,MIA,964,,,1,A,0
195,2011,1,25,2,1040,1354,AA,1700,N3BFAA,134,112,14,20,IAH,MIA,964,4,18,0,,0
196,2011,1,26,3,1015,1329,AA,1700,N3BLAA,134,110,-11,-5,IAH,MIA,964,13,11,0,,0
197,2011,1,27,4,1017,1335,AA,1700,N3AJAA,138,108,-5,-3,IAH,MIA,964,12,18,0,,0
198,2011,1,28,5,1020,1318,AA,1700,N3DDAA,118,104,-22,0,IAH,MIA,964,5,9,0,,0
199,2011,1,29,6,1015,1326,AA,1700,N3FYAA,131,108,-14,-5,IAH,MIA,964,8,15,0,,0
200,2011,1,30,7,1019,1324,AA,1700,N3DCAA,125,106,-16,-1,IAH,MIA,964,10,9,0,,0
201,2011,1,31,1,1013,1336,AA,1700,N3FRAA,143,100,-4,-7,IAH,MIA,964,26,17,0,,0
202,2011,1,1,6,1211,1325,AA,1820,N593AA,74,39,15,6,IAH,DFW,224,6,29,0,,0
203,2011,1,2,7,1200,1303,AA,1820,N589AA,63,47,-7,-5,IAH,DFW,224,3,13,0,,0
204,2011,1,3,1,1204,1308,AA,1820,N4XPAA,64,46,-2,-1,IAH,DFW,224,5,13,0,,0
205,2011,1,4,2,1206,1319,AA,1820,N565AA,73,41,9,1,IAH,DFW,224,19,13,0,,0
206,2011,1,5,3,1205,1311,AA,1820,N560AA,66,44,1,0,IAH,DFW,224,12,10,0,,0
207,2011,1,6,4,1204,1310,AA,1820,N563AA,66,41,0,-1,IAH,DFW,224,8,17,0,,0
208,2011,1,7,5,1204,1316,AA,1820,N4YRAA,72,43,6,-1,IAH,DFW,224,6,23,0,,0
209,2011,1,8,6,1202,1308,AA,1820,N4YTAA,66,39,-2,-3,IAH,DFW,224,17,10,0,,0
210,2011,1,9,7,,,AA,1820,N4XCAA,,,,,IAH,DFW,224,,,1,B,0
211,2011,1,10,1,1217,1329,AA,1820,N598AA,72,43,19,12,IAH,DFW,224,12,17,0,,0
212,2011,1,11,2,1205,1310,AA,1820,N563AA,65,42,0,0,IAH,DFW,224,9,14,0,,0
213,2011,1,12,3,1206,1305,AA,1820,N593AA,59,41,-5,1,IAH,DFW,224,8,10,0,,0
214,2011,1,13,4,1205,1311,AA,1820,N4WAAA,66,46,1,0,IAH,DFW,224,4,16,0,,0
215,2011,1,14,5,1205,1315,AA,1820,N566AA,70,49,5,0,IAH,DFW,224,4,17,0,,0
216,2011,1,15,6,1222,1329,AA,1820,N476AA,67,52,19,17,IAH,DFW,224,6,9,0,,0
217,2011,1,16,7,1205,1306,AA,1820,N599AA,61,42,-4,0,IAH,DFW,224,8,11,0,,0
218,2011,1,17,1,1205,1322,AA,1820,N4WXAA,77,49,12,0,IAH,DFW,224,4,24,0,,0
219,2011,1,18,2,1235,1334,AA,1820,N4WRAA,59,43,24,30,IAH,DFW,224,8,8,0,,0
220,2011,1,19,3,1204,1311,AA,1820,N4YDAA,67,44,1,-1,IAH,DFW,224,6,17,0,,0
221,2011,1,20,4,1214,1324,AA,1820,N202AA,70,44,14,9,IAH,DFW,224,5,21,0,,0
222,2011,1,21,5,1206,1312,AA,1820,N433AA,66,44,2,1,IAH,DFW,224,5,17,0,,0
223,2011,1,22,6,1200,1312,AA,1820,N546AA,72,50,2,-5,IAH,DFW,224,11,11,0,,0
224,2011,1,23,7,1217,1308,AA,1820,N436AA,51,39,-2,12,IAH,DFW,224,5,7,0,,0
225,2011,1,24,1,1212,1318,AA,1820,N434AA,66,43,8,7,IAH,DFW,224,5,18,0,,0
226,2011,1,25,2,1159,1259,AA,1820,N4WDAA,60,40,-11,-6,IAH,DFW,224,3,17,0,,0
227,2011,1,26,3,1159,1314,AA,1820,N594AA,75,46,4,-6,IAH,DFW,224,11,18,0,,0
228,2011,1,27,4,1159,1311,AA,1820,N569AA,72,43,1,-6,IAH,DFW,224,13,16,0,,0
229,2011,1,28,5,1255,1358,AA,1820,N435AA,63,47,48,50,IAH,DFW,224,5,11,0,,0
230,2011,1,29,6,1156,1302,AA,1820,N592AA,66,44,-8,-9,IAH,DFW,224,8,14,0,,0
231,2011,1,30,7,1159,1319,AA,1820,N589AA,80,41,9,-6,IAH,DFW,224,3,36,0,,0
232,2011,1,31,1,1205,1317,AA,1820,N511AA,72,42,7,0,IAH,DFW,224,8,22,0,,0
233,2011,1,2,7,907,1018,AA,1824,N569AA,71,45,-7,-3,IAH,DFW,224,6,20,0,,0
234,2011,1,8,6,902,1010,AA,1824,N4YUAA,68,43,-15,-8,IAH,DFW,224,9,16,0,,0
235,2011,1,9,7,938,1050,AA,1824,N568AA,72,41,25,28,IAH,DFW,224,10,21,0,,0
236,2011,1,15,6,905,1007,AA,1824,N4YAAA,62,41,-18,-5,IAH,DFW,224,9,12,0,,0
237,2011,1,16,7,903,1012,AA,1824,N568AA,69,44,-13,-7,IAH,DFW,224,8,17,0,,0
238,2011,1,22,6,930,1041,AA,1824,N459AA,71,47,16,20,IAH,DFW,224,5,19,0,,0
239,2011,1,23,7,903,1023,AA,1824,N4YDAA,80,45,-2,-7,IAH,DFW,224,22,13,0,,0
240,2011,1,29,6,903,1020,AA,1824,N599AA,77,44,-5,-7,IAH,DFW,224,15,18,0,,0
241,2011,1,30,7,904,1013,AA,1824,N588AA,69,46,-12,-6,IAH,DFW,224,6,17,0,,0
242,2011,1,1,6,557,906,AA,1994,N3BBAA,129,113,-9,-3,IAH,MIA,964,5,11,0,,0
243,2011,1,2,7,554,912,AA,1994,N3DCAA,138,115,-3,-6,IAH,MIA,964,5,18,0,,0
244,2011,1,3,1,555,905,AA,1994,N3CMAA,130,111,-10,-5,IAH,MIA,964,6,13,0,,0
